StageId	Name	Description	Icon	BgmId	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[2]	StarRewardId[3]	StarRewardId	TeamExp	CardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]
10010201	Restoring Scene	After reaching C-point, all Gray Raven saw were the remains of their comrades, as well as the Corrupted feasting on them. Get rid of them.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	5		1		1	6	300	10010104				100101050	10010105	100105	10010105				6	11	10				1100121			3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1	1		Square	5		1	2	3
10010202	Lost in Mist	Lucia found an arm from the remains that fit her just well. The Corrupted ahead are perfect targets for her to test it.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	5		1		1	6	300	10010201				100101060	10010106	100106	10010106				6	11	10				1100122			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	6		1	2	3
10010203	A Soft Heart	All squads are C-point were wiped out, but there are more than 1 temporary rendezvous point. Gray Raven decides to check the other points.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	102				1						7	6		1		1	6	300	10010202				100101070	10010107	100107	10010107				6	11	10				1100123			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1	1000						1	1		Square		1	1	2	3
10010204	The Purpose	One of the Corrupted kept making a "giggling" sound. Go after it.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0102.png	111				1						8	6		1		1	6	300	10010203				100101080	10010108	100108	10010108				6	11	10				1100124			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	8		1	2	3
10010301	The Followers	The rendezvous point in the city had also fallen. After investigating the remains, Gray Raven realized their actions were completely transparent to the Corrupted. But they need to get rid of the enemies ahead first.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						9	8		1		1	6	300	10010204				100101090	10010109	100109	10010109				6	15	10				1100131			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	9		1	2	3
10010302	Base Color	Realizing that the enemy had everything planned, Lee lost his cool. However, new pursuers showed up in front of the quarreling Gray Raven.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						10	8		1		1	6	300	10010301				100101100	10010110	100110	10010110				6	16	10				1100132			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	10		1	2	3
10010303	Self Analysis	Gray Raven found a place to regroup in the city. Liv and Lucia picked two plushies from the ruins, but more Corrupted came out of the buildings.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	102				1						11	10		1		1	6	300	10010302				100101110	10010111	100111	10010111				6	16	10				1100133			3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1	1		Square	11		1	2	3
10010304	Final Work	To seize control of this area again, Gray Raven decided to cross the city and head toward the factory, where the New Variant was found.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0103.png	112				1						12	10		1		1	6	300	10010303				100101120	10010112	100112	10010112				6	16	10				1100134	3100134		3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	12		1	2	3
10020101	A Strange New Friend	After destroying the new variant, the Corrupted became disorganized again. Gray Raven decided to take this opportunity to establish a safe route to the portal.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						1	15		1		5	10	300	10010304				100201010	10020101	100201	10020101				10	20	10				1100211			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	13	1	1	2	3
10020102	Strange Signal	Many out-of-control Corrupted were wandering on the bridge. Get rid of them, so the "Iso-Device" can be installed.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png	102				1						2	15		1		5	10	300	10020101				100201020	10020102	100202	10020102				10	20	10				1100212			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	14		1	2	3
10020103	Old Acquaintance	Another task force team was also on a mission in this area. Thanks to their "careless mistake", Gray Raven had to deal with more Corrupted.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	15		1		5	10	300	10020102				100201030	10020103	100203	10020103				10	20	10				1100213			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	15		1	2	3
10020104	Relic	Lee is an expert military engineer. The bridge is still not safe, but the best you can do is to protect him while he sets up the Iso-Device.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						4	15		1		5	10	300	10020103				100201040	10020104	100204	10020104				10	20	10				1100214			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	16		1	2	3
10020201	Language Game	To reach the portal, one must go through the city occupied by many Corrupted. Clean this area like what you did last time.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0201.png	101				1						5	18		1		5	10	300	10020104				100201050	10020105	100205	10020105				10	20	10				1100221			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	17		1	2	3
10020202	Mental Fortitude	Liv won the recognition of other team members through her hard work and excellent battle performance. Keep the momentum going and clear the next area.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	18		1		5	10	300	10020201				100201060	10020106	100206	10020106				10	20	10				1100222			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	18		1	2	3
10020203	New Corrupted Ability	It suddenly started to rain. Protect Lee so he could set up the Iso-Device before the rain gets worse.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0202.png	101				1						7	18		1		5	10	300	10020202				100201070	10020107	100207	10020107				10	20	10				1100223			3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1	1		Rectangle	19		1	2	3
10020204	Rescue Signal	While setting up the Iso-Device, The team received a signal from a Construct requesting aid. Help him as soon as possible.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						8	18		1		5	10	300	10020203				100201080	10020108	100208	10020108				10	20	10				1100224			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	20		1	2	3
10020301	Will of Steel	The rescued Construct's injuries were too serious and he had to be restarted, which would inevitably wipe all his memories. Still, Gray Raven had to keep going.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						9	20		1		5	10	300	10020204				100201090	10020109	100209	10020109				10	20	10				1100231			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	21		1	2	3
10020302	A "Safe" Exit	This is the last area linking to the Portal. Protect Lee so he can set up a safe route.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	111				1						10	20		1		5	10	300	10020301				100201100	10020110	100210	10020110				10	20	10				1100232			3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1	1		Square	22		1	2	3
10020303	The Proud	Gray Raven received another rescue signal. Don't lose him this time!	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0203.png	111				1						11	20		1		5	10	300	10020302				100201110	10020111	100211	10020111				10	20	10				1100233			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	23		1	2	3
10020304	End of Torture	The rescued Corrupted seemed very anxious. Gray Raven decided to help him evacuate the area first.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0204.png	112				1						12	20		1		5	10	300	10020303				100201120	10020112	100212	10020112				10	20	10				1100234	3100234		3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	24		1	2	3
10030101	Seeds	The true identity of the Princess was still unknown. After learning about "Operation Portal" from Kamui of Strike Hawk, Gray Raven headed toward the Estate.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0301.png	101				1						1	30		1		20	10	300	11010106				100301010	10030101	100301	10030101				10	30	10				1100311			3	Have all members survive	Die less than once	Die less than twice							1	21	2	1	1001							1		Rectangle			1	2	3
10030102	Terminal	Hassen gave you a priority mission. Before joining Strike Hawk, you need to retrieve the Constructs in the subway station with Gray Raven.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	30		1		20	10	300	10030101				100301020	10030102	100302	10030102				10	30	10				1100312			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Square	26		1	2	3
10030103	Driven by Instinct	Tifa was also one of the "new variants". How the Corrupted suddenly gained the ability to think was still unknown, but they quickly occupied the subway station after she was gone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	30		1		20	10	300	10030102				100301030	10030103	100303	10030103				10	30	10				1100313			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Square	27		1	2	3
10030104	Good Samaritan	The Corrupted significantly impacted the retrieval of Constructs. Gray Raven decided to split into two groups; one would continue working on the retrieval, while the other would focus on fighting the Corrupted.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab05.png	111				1						4	30		1		20	10	300	10030103				100301040	10030104	100304	10030104				10	30	10				1100314			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	28		1	2	3
10030201	Trespassing	Operation Portal was run by Strike Hawk. After joining forces with them, Gray Raven was assigned the task of scouting in the Estate where the portal was located.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	32		1		20	10	300	10030104				100301050	10030105	100305	10030105				10	30	10				1100321			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	29		1	2	3
10030202	Traps	After scouting, Gray Raven's next task is night patrol.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						6	32		1		20	10	300	10030201				100301060	10030106	100306	10030106				10	30	10				1100322			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	30		1	2	3
10030203	Final Warning	Operation Portal is about to start. Gray Raven and Strike Hawk will launch a joint attack on the Estate.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	101				1						7	32		1		20	10	300	10030202				100301070	10030107	100307	10030107				10	30	10				1100323			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	31		1	2	3
10030204	Take Caution	A new variant, along with many Corrupted reinforcements, suddenly appeared in the Estate. Defeat the new variant and evacuate ASAP.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0302.png	111				1						8	32		1		20	10	300	10030203				100301080	10030108	100308	10030108				10	30	10				1100324			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Rectangle	32		1	2	3
10030301	Special Mission	The first attempt failed, but Strike Hawk had no plans to give up the operation. Gray Raven was asked to patrol in the night for tomorrow's mission.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						9	34		1		20	10	300	10030204				100301090	10030109	100309	10030109				10	30	10				1100331			3	Have all members survive	Die less than once	Die less than twice							1		2	1	1002							1		Square			1	2	3
10030302	A Twisted Hobby	The operation has started again. Gray Raven will distract the enemy so Strike Hawk can infiltrate the Estate.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						10	34		1		20	10	300	10030301				100301100	10030110	100310	10030110				10	30	10				1100332			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Square	34		1	2	3
10030303	Loyalty	To attract as much firepower as possible, Gray Raven decided to enter the Estate building.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						11	34		1		20	10	300	10030302				100301110	10030111	100311	10030111				10	30	10				1100333			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	35		1	2	3
10030304	A New Seed	For some unknown reason, Gray Raven lost contact with Strike Hawk. The priority now is to get out of this place.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0303.png	112				1						12	34		1		20	10	300	10030303				100301120	10030112	100312	10030112				10	30	10				1100334	3100334		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	36		1	2	3
10040101	Night Escape	Strike Hawk suffered a heavy loss, so Kamui was reassigned to Gray Raven, whose last task here is to establish a safe zone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0401.png	101				1						1	40		1		28	10	300	11020106				100401010	10040101	100401	10040101				10	40	10				1100411	3100411		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	37		1	2	3
10040102	Elimination	Cover Lee so he could set up the Iso-Device outside the Estate and hence establish a safe route between the base and the portal.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	40		1		28	10	300	10040101				100401020	10040102	100402	10040102				10	40	10				1100412	3100412		3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Square	38		1	2	3
10040103	Broken Chain	A siren suddenly went off in the Estate. Check it out and ensure the portal is safe.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	40		1		28	10	300	10040102				100401030	10040103	100403	10040103				10	40	10				1100413	3100413		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	39		1	2	3
10040104	Zack	Turned out it was some Corrupted that triggered the safety robots. Destroy the Corrupted and the robots.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0402.png	111				1						4	40		1		28	10	300	10040103				100401040	10040104	100404	10040104				10	40	10				1100414	3100414		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	40		1	2	3
10040201	Raging Sand	The portal was tampered by Roland and failed to send you to the designated location. After some discussion, you decided to walk there.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	42		1		28	10	300	10040104				100401050	10040105	100405	10040105				10	40	10				1100421	3100421		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	41		1	2	3
10040202	Panic Dive	Kamui seemed to have this desert's information. Gray Raven headed toward the desert base for supplies and Construct maintenance.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	42		1		28	10	300	10040201				100401060	10040106	100406	10040106				10	40	10				1100422	3100422		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	42		1	2	3
10040203	The Forsaken	The desert base was under attack of the Corrupted. Defeat them to protect the base.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0403.png	101				1						7	42		1		28	10	300	10040202				100401070	10040107	100407	10040107				10	40	10				1100423	3100423		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	43		1	2	3
10040204	Reinforcement	Gray Raven was met with some uninvited guests who called themselves the "Forsaken", and was attacked by one of the male Constructs.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						8	42		1		28	10	300	10040203				100401080	10040108	100408	10040108				10	40	10				1100424	3100424		3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Square	44		1	2	3
10040301	None Shall Pass	The "Forsaken" Constructs seemed to know Lucia and Kamui. Gray Raven set off once again to seize the base and find out the truth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png	101				1						9	44		1		28	10	300	10040204				100401090	10040109	100409	10040109				10	40	10				1100431	3100431		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	45		1	2	3
10040302	Silent Night	The mysterious Construct who clearly disliked humans appeared again. He was upset by Gray Raven as they were taking orders from you. A battle is imminent.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						10	44		1		28	10	300	10040301				100401100	10040110	100410	10040110				10	40	10				1100432			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	46		1	2	3
10040303	Noises	The male Construct took advantage of the Corrupted's habits and got them to attack Gray Raven. Lucia seemed to have recalled something during the battle though...?	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						11	44		1		28	10	300	10040302				100401110	10040111	100411	10040111				10	40	10				1100433			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	47		1	2	3
10040304	Battle in Temple	The enemy Construct's name was Watanabe. But before Lucia could recall more, a type of enemy named "Guardian" started to attack...	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0404.png	112				1						12	44		1		28	10	300	10040303				100401120	10040112	100412	10040112				10	40	10				1100434	3100434		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	48		1	2	3
10050101	Traces	Executive Nikolai sent the Purifying Force to hunt deserter Liv. Time is running out, but you must find Liv and take care of the unconscious Lucia at the same time.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						1	52		1		35	12	300	11030106				100501010	10050101	100501	10050101				12	50	10				1100511			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	49		1	2	3
10050102	Blind Fight	Lee and Kamui had an argument about the dismembered team. Their heated debate caught the Corrupted's attention.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						2	52		1		35	12	300	10050101				100501020	10050102	100502	10050102				12	50	10				1100512	3100512		3	Have all members survive	Die less than once	Die less than twice							1		2	1	1003							1		Square			1	2	3
10050103	Dispelling Illusions	The team still had different opinions, but the priority was to treat Lucia. You decided to head toward the oasis that Kamui mentioned.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	102				1						3	52		1		35	12	300	10050102				100501030	10050103	100503	10050103				12	50	10				1100513			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	51		1	2	3
10050104	A Smart Path	The team was finally able to have a break, but more Corrupted were in the way to the terminal that could be used to heal Lucia.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0501.png	111				1						4	52		1		35	12	300	10050103				100501040	10050104	100504	10050104				12	50	10				1100514			3	Have all members survive	Die less than once	Die less than twice							1		2	1	1004							1		Rectangle			1	2	3
10050201	True Form	While the desert terminal is "decompressing" Lucia's M.I.N.D., get Lee and Kamui to hold off the enemies.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	54		1		35	12	300	10050104				100501050	10050105	100505	10050105				12	50	10				1100521	3100521		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	53		1	2	3
10050202	Suppressed Illusions	After Lucia woke up, she wanted to stay alone. Recalling the tragedies of the First Force seemed to have impacted her significantly. You decided to check her situation.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	112				1						6	54		1		35	12	300	10050201				100501060	10050106	100506	10050106				12	50	10				1100522	3100522		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	54		1	2	3
10050203	Illusions of Dream	Lucia only wanted peace of mind. Yet, the new variant claimed she could be "freed" from the past.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png	111				1						7	54		1		35	12	300	10050202				100501070	10050107	100507	10050107				12	50	10				1100523	3100523		3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1								1		Square	55		1	2	3
10050204	Supervisor	The guilt from the past and the feeling of powerlessness are killing Lucia. Defeat the new variant along with Kamui.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	112				1						8	54		1		35	12	300	10050203				100501080	10050108	100508	10050108				12	50	10				1100524	3100524		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	56		1	2	3
10050301	The Light of Seven	Gray Raven isn't exactly ready to flee, but it's time to run from the Purifying Force.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0503.png	101				1						9	56		1		35	12	300	10050204				100501090	10050109	100509	10050109				12	50	10				1100531	3100531		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	57		1	2	3
10050302	Lost Sword	You must find Liv before the Purifying Force does. She might be with the Forsaken. Gray Raven decided to check the desert base.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						10	56		1		35	12	300	10050301				100501100	10050110	100510	10050110				12	50	10				1100532	3100532		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	58		1	2	3
10050303	Turning the Table	The base was completely empty, but the radar suggested that Gray Raven was already at Liv's location. The earth suddenly started to tremble...	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						11	56		1		35	12	300	10050302				100501110	10050111	100511	10050111				12	50	10				1100533			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	59		1	2	3
10050304	Liv's Return	The unknown earthquake also attracted the Guardian to the base. Protect the base and try to reach Liv's location!	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0502.png	111				1						12	56		1		35	12	300	10050303				100501120	10050112	100512	10050112				12	50	10				1100534	3100534		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	60		1	2	3
10060101	Tracking the Ascendant	Liv had returned, and Nanami also volunteered to join. Gray Raven decides to take the path that Watanabe mentioned and heads toward the bureau.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0601.png	101				1						1	60		1		40	12	300	11040106				100601010	10060101	100601	10060101				12	60	10				1100611			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	61		1	2	3
10060102	Underground Miracle	Under the desert was a gigantic city that wasn't recorded on maps. You decided to walk around first.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	60		1		40	12	300	10060101				100601020	10060102	100602	10060102				12	60	10				1100612	3100612		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	62		1	2	3
10060103	Mystery	It's difficult to find the entry to the bureau on bare foot. Going high above the ground may be a good option.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						3	60		1		40	12	300	10060102				100601030	10060103	100603	10060103				12	60	10				1100613	3100613		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	63		1	2	3
10060104	Powerful Reinforcement	New variants awaited Gray Raven on the high platform. Defeat them.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab05.png	102				1						4	60		1		40	12	300	10060103				100601040	10060104	100604	10060104				12	60	10				1100614	3100614		3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Rectangle	64		1	2	3
10060201	Mind Noises	According to Watanabe, this city belonged to Kurono Group. They might have put the map in one of the facilities in the city center.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						5	61		1		40	12	300	10060104				100601050	10060105	100605	10060105				12	60	10				1100621			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	65		1	2	3
10060202	Turning Around	The conflict between Nanami and Watanabe seemed to have started here. A number of Corrupted had gathered here since they left.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						6	61		1		40	12	300	10060201				100601060	10060106	100606	10060106				12	60	10				1100622			3	Have all members survive	Die less than once	Clear in 150s							1		2	1								1		Square	66		1	2	3
